,region,gravity,type,2016,2017,2018,2019,2020,2021
126,Ростовская область,особо тяжких,несовершеннолетними или при их соучастии,33,29,27,23,36,37
127,Краснодарский край,особо тяжких,несовершеннолетними или при их соучастии,30,29,27,36,22,25
128,Республика Адыгея (Адыгея),особо тяжких,несовершеннолетними или при их соучастии,5,14,1,2,6,2
129,Республика Калмыкия,особо тяжких,несовершеннолетними или при их соучастии,3,4,0,4,1,1
130,Республика Крым,особо тяжких,несовершеннолетними или при их соучастии,17,9,5,10,19,17
131,Кировская область,особо тяжких,несовершеннолетними или при их соучастии,5,11,19,13,5,16
132,Нижегородская область,особо тяжких,несовершеннолетними или при их соучастии,24,24,42,79,77,48
133,Оренбургская область,особо тяжких,несовершеннолетними или при их соучастии,10,203,52,59,17,20
134,Пензенская область,особо тяжких,несовершеннолетними или при их соучастии,12,7,10,7,5,21
135,Пермский край,особо тяжких,несовершеннолетними или при их соучастии,56,50,55,87,70,55
136,Республика Татарстан (Татарстан),особо тяжких,несовершеннолетними или при их соучастии,53,52,31,26,47,43
137,Республика Башкортостан,особо тяжких,несовершеннолетними или при их соучастии,53,29,32,144,174,52
138,Республика Марий Эл,особо тяжких,несовершеннолетними или при их соучастии,5,7,6,17,5,8
139,Республика Мордовия,особо тяжких,несовершеннолетними или при их соучастии,13,5,9,5,2,3
140,Самарская область,особо тяжких,несовершеннолетними или при их соучастии,13,43,74,84,180,46
141,Саратовская область,особо тяжких,несовершеннолетними или при их соучастии,11,9,17,14,22,20
142,Удмуртская Республика,особо тяжких,несовершеннолетними или при их соучастии,27,27,25,23,34,19
143,Ульяновская область,особо тяжких,несовершеннолетними или при их соучастии,12,8,10,7,11,8
144,Чувашская Республика - Чувашия,особо тяжких,несовершеннолетними или при их соучастии,26,52,81,89,70,10
145,Курганская область,особо тяжких,несовершеннолетними или при их соучастии,18,25,26,26,81,18
146,Свердловская область,особо тяжких,несовершеннолетними или при их соучастии,64,96,69,74,48,59
147,Тюменская область (без автономных округов),особо тяжких,несовершеннолетними или при их соучастии,24,16,25,16,16,22
148,Ханты-Мансийский автономный округ - Югра (Тюменская область),особо тяжких,несовершеннолетними или при их соучастии,11,24,6,26,16,19
149,Ямало-Ненецкий автономный округ (Тюменская область),особо тяжких,несовершеннолетними или при их соучастии,7,6,7,6,5,17
150,Челябинская область,особо тяжких,несовершеннолетними или при их соучастии,49,186,299,162,107,98
151,Алтайский край,особо тяжких,несовершеннолетними или при их соучастии,42,43,36,26,23,33
152,Забайкальский край,особо тяжких,несовершеннолетними или при их соучастии,42,26,20,22,23,15
153,Иркутская область,особо тяжких,несовершеннолетними или при их соучастии,32,36,28,30,26,29
154,Кемеровская область - Кузбасс,особо тяжких,несовершеннолетними или при их соучастии,34,38,33,22,39,44
