,region,gravity,type,2016,2017,2018,2019,2020,2021
1879,Республика Бурятия,особо тяжких,группой лиц по предварительному сговору,47,30,36,20,25,16
1880,Республика Тыва,особо тяжких,группой лиц по предварительному сговору,34,31,11,23,21,20
1881,Республика Хакасия,особо тяжких,группой лиц по предварительному сговору,32,29,47,33,19,39
1882,Томская область,особо тяжких,группой лиц по предварительному сговору,62,58,77,83,72,72
1883,Амурская область,особо тяжких,группой лиц по предварительному сговору,58,39,32,21,19,38
1884,Еврейская автономная область,особо тяжких,группой лиц по предварительному сговору,9,9,4,3,3,14
1885,Камчатский край,особо тяжких,группой лиц по предварительному сговору,24,27,21,17,23,41
1886,Магаданская область,особо тяжких,группой лиц по предварительному сговору,8,8,9,8,7,15
1887,Приморский край,особо тяжких,группой лиц по предварительному сговору,96,64,74,59,58,81
1888,Республика Саха (Якутия),особо тяжких,группой лиц по предварительному сговору,36,32,18,25,13,20
1889,Сахалинская область,особо тяжких,группой лиц по предварительному сговору,43,22,36,32,33,32
1890,Хабаровский край,особо тяжких,группой лиц по предварительному сговору,117,81,44,45,73,68
1891,Чукотский автономный округ,особо тяжких,группой лиц по предварительному сговору,0,2,0,0,0,0
1892,Российская Федерация,тяжких,группой лиц по предварительному сговору,25524,22770,20925,19474,18536,17930
1893,Белгородская область,тяжких,группой лиц по предварительному сговору,135,138,127,103,132,104
1894,Брянская область,тяжких,группой лиц по предварительному сговору,149,149,151,134,134,130
1895,Владимирская область,тяжких,группой лиц по предварительному сговору,288,251,201,177,222,121
1896,Воронежская область,тяжких,группой лиц по предварительному сговору,260,312,316,246,245,236
1897,Ивановская область,тяжких,группой лиц по предварительному сговору,224,127,116,104,129,108
1898,Калужская область,тяжких,группой лиц по предварительному сговору,223,194,188,138,183,223
1899,Костромская область,тяжких,группой лиц по предварительному сговору,121,100,119,68,102,85
1900,Курская область,тяжких,группой лиц по предварительному сговору,170,132,107,133,121,103
1901,город Москва,тяжких,группой лиц по предварительному сговору,2206,1692,1477,1645,1584,1882
1902,Московская область,тяжких,группой лиц по предварительному сговору,1164,1004,1098,950,945,956
1903,Липецкая область,тяжких,группой лиц по предварительному сговору,91,78,104,88,80,91
1904,Орловская область,тяжких,группой лиц по предварительному сговору,82,71,57,72,56,56
1905,Рязанская область,тяжких,группой лиц по предварительному сговору,180,130,100,113,123,73
1906,Смоленская область,тяжких,группой лиц по предварительному сговору,140,178,155,162,143,140
1907,Тамбовская область,тяжких,группой лиц по предварительному сговору,75,87,115,90,82,79
1908,Тверская область,тяжких,группой лиц по предварительному сговору,379,299,310,197,259,233
1909,Тульская область,тяжких,группой лиц по предварительному сговору,196,212,155,191,183,188
1910,Ярославская область,тяжких,группой лиц по предварительному сговору,311,269,163,174,150,169
1911,Архангельская область (кроме Ненецкого автономного округа),тяжких,группой лиц по предварительному сговору,394,274,276,245,216,234
1912,Ненецкий автономный округ (Архангельская область),тяжких,группой лиц по предварительному сговору,5,6,8,18,12,8
1913,город Санкт-Петербург,тяжких,группой лиц по предварительному сговору,492,458,463,492,494,552
1914,Ленинградская область,тяжких,группой лиц по предварительному сговору,243,251,239,282,269,211
1915,Вологодская область,тяжких,группой лиц по предварительному сговору,390,273,271,220,201,229
1916,Калининградская область,тяжких,группой лиц по предварительному сговору,109,91,169,76,67,57
1917,Мурманская область,тяжких,группой лиц по предварительному сговору,67,64,75,55,44,37
1918,Новгородская область,тяжких,группой лиц по предварительному сговору,183,158,117,113,150,129
1919,Псковская область,тяжких,группой лиц по предварительному сговору,181,158,177,153,109,76
1920,Республика Карелия,тяжких,группой лиц по предварительному сговору,170,120,63,110,92,88
1921,Республика Коми,тяжких,группой лиц по предварительному сговору,196,191,98,131,120,108
1922,Кабардино-Балкарская Республика,тяжких,группой лиц по предварительному сговору,73,109,73,80,90,71
1923,Карачаево-Черкесская Республика,тяжких,группой лиц по предварительному сговору,47,25,30,54,73,70
1924,Республика Дагестан,тяжких,группой лиц по предварительному сговору,328,273,330,180,227,210
1925,Республика Ингушетия,тяжких,группой лиц по предварительному сговору,55,36,28,14,17,17
1926,Республика Северная Осетия-Алания,тяжких,группой лиц по предварительному сговору,61,102,34,55,76,58
1927,Ставропольский край,тяжких,группой лиц по предварительному сговору,374,350,340,278,308,240
1928,Чеченская Республика,тяжких,группой лиц по предварительному сговору,55,40,26,20,16,24
1929,Астраханская область,тяжких,группой лиц по предварительному сговору,168,167,174,181,165,166
1930,Волгоградская область,тяжких,группой лиц по предварительному сговору,402,339,330,305,452,348
1931,город Севастополь,тяжких,группой лиц по предварительному сговору,94,55,37,50,60,47
1932,Ростовская область,тяжких,группой лиц по предварительному сговору,640,570,580,538,465,510
1933,Краснодарский край,тяжких,группой лиц по предварительному сговору,796,680,733,713,730,725
1934,Республика Адыгея (Адыгея),тяжких,группой лиц по предварительному сговору,78,35,91,46,91,44
1935,Республика Калмыкия,тяжких,группой лиц по предварительному сговору,14,22,24,22,17,17
1936,Республика Крым,тяжких,группой лиц по предварительному сговору,230,239,224,180,194,214
1937,Кировская область,тяжких,группой лиц по предварительному сговору,165,163,123,127,150,122
1938,Нижегородская область,тяжких,группой лиц по предварительному сговору,660,435,443,490,459,405
1939,Оренбургская область,тяжких,группой лиц по предварительному сговору,383,411,320,230,221,186
1940,Пензенская область,тяжких,группой лиц по предварительному сговору,117,113,106,106,101,96
1941,Пермский край,тяжких,группой лиц по предварительному сговору,653,533,439,376,336,320
1942,Республика Татарстан (Татарстан),тяжких,группой лиц по предварительному сговору,808,523,411,450,449,372
1943,Республика Башкортостан,тяжких,группой лиц по предварительному сговору,417,403,367,503,302,364
1944,Республика Марий Эл,тяжких,группой лиц по предварительному сговору,63,55,63,72,54,59
1945,Республика Мордовия,тяжких,группой лиц по предварительному сговору,85,134,79,81,83,69
1946,Самарская область,тяжких,группой лиц по предварительному сговору,383,368,320,337,332,240
1947,Саратовская область,тяжких,группой лиц по предварительному сговору,317,282,371,293,327,305
1948,Удмуртская Республика,тяжких,группой лиц по предварительному сговору,256,180,169,185,146,146
1949,Ульяновская область,тяжких,группой лиц по предварительному сговору,198,134,140,105,84,73
1950,Чувашская Республика - Чувашия,тяжких,группой лиц по предварительному сговору,209,150,117,97,81,56
1951,Курганская область,тяжких,группой лиц по предварительному сговору,188,192,134,193,144,177
1952,Свердловская область,тяжких,группой лиц по предварительному сговору,880,860,780,697,537,554
1953,Тюменская область (без автономных округов),тяжких,группой лиц по предварительному сговору,221,184,161,166,151,147
1954,Ханты-Мансийский автономный округ - Югра (Тюменская область),тяжких,группой лиц по предварительному сговору,158,223,141,128,136,120
1955,Ямало-Ненецкий автономный округ (Тюменская область),тяжких,группой лиц по предварительному сговору,54,41,64,56,50,104
1956,Челябинская область,тяжких,группой лиц по предварительному сговору,678,655,611,493,649,480
1957,Алтайский край,тяжких,группой лиц по предварительному сговору,402,332,318,303,269,254
1958,Забайкальский край,тяжких,группой лиц по предварительному сговору,642,602,533,416,310,280
1959,Иркутская область,тяжких,группой лиц по предварительному сговору,683,805,643,512,399,424
1960,Кемеровская область - Кузбасс,тяжких,группой лиц по предварительному сговору,551,534,438,377,312,364
1961,Красноярский край,тяжких,группой лиц по предварительному сговору,742,555,519,519,455,459
1962,Новосибирская область,тяжких,группой лиц по предварительному сговору,673,559,599,546,401,381
1963,Омская область,тяжких,группой лиц по предварительному сговору,376,302,263,249,180,173
1964,Республика Алтай,тяжких,группой лиц по предварительному сговору,44,40,39,29,32,31
1965,Республика Бурятия,тяжких,группой лиц по предварительному сговору,386,340,304,257,196,182
1966,Республика Тыва,тяжких,группой лиц по предварительному сговору,96,113,91,82,50,58
1967,Республика Хакасия,тяжких,группой лиц по предварительному сговору,110,125,84,53,67,35
1968,Томская область,тяжких,группой лиц по предварительному сговору,147,159,177,171,140,228
1969,Амурская область,тяжких,группой лиц по предварительному сговору,176,227,189,167,120,113
1970,Еврейская автономная область,тяжких,группой лиц по предварительному сговору,25,42,36,13,20,28
1971,Камчатский край,тяжких,группой лиц по предварительному сговору,52,63,48,41,34,31
1972,Магаданская область,тяжких,группой лиц по предварительному сговору,35,29,26,28,14,14
1973,Приморский край,тяжких,группой лиц по предварительному сговору,354,330,299,272,286,263
1974,Республика Саха (Якутия),тяжких,группой лиц по предварительному сговору,169,183,140,170,134,129
1975,Сахалинская область,тяжких,группой лиц по предварительному сговору,107,105,109,67,119,97
1976,Хабаровский край,тяжких,группой лиц по предварительному сговору,241,234,191,147,147,126
1977,Чукотский автономный округ,тяжких,группой лиц по предварительному сговору,5,11,3,9,7,7
1978,Российская Федерация,средней тяжести,группой лиц по предварительному сговору,48061,45744,43892,40873,36338,33514
1979,Белгородская область,средней тяжести,группой лиц по предварительному сговору,318,290,253,236,265,227
1980,Брянская область,средней тяжести,группой лиц по предварительному сговору,365,338,324,220,187,197
1981,Владимирская область,средней тяжести,группой лиц по предварительному сговору,637,559,535,343,303,283
1982,Воронежская область,средней тяжести,группой лиц по предварительному сговору,632,631,590,550,609,593
1983,Ивановская область,средней тяжести,группой лиц по предварительному сговору,295,320,271,277,212,156
1984,Калужская область,средней тяжести,группой лиц по предварительному сговору,492,501,534,486,403,389
1985,Костромская область,средней тяжести,группой лиц по предварительному сговору,326,366,318,279,173,171
1986,Курская область,средней тяжести,группой лиц по предварительному сговору,414,382,387,364,321,276
1987,город Москва,средней тяжести,группой лиц по предварительному сговору,1662,1516,1470,1419,1318,989
1988,Московская область,средней тяжести,группой лиц по предварительному сговору,1902,1829,1875,1894,1931,2013
1989,Липецкая область,средней тяжести,группой лиц по предварительному сговору,249,278,272,310,249,292
1990,Орловская область,средней тяжести,группой лиц по предварительному сговору,203,235,140,166,171,139
1991,Рязанская область,средней тяжести,группой лиц по предварительному сговору,309,209,285,257,289,174
1992,Смоленская область,средней тяжести,группой лиц по предварительному сговору,318,381,385,340,337,306
1993,Тамбовская область,средней тяжести,группой лиц по предварительному сговору,307,238,324,313,268,262
1994,Тверская область,средней тяжести,группой лиц по предварительному сговору,531,436,418,297,453,379
1995,Тульская область,средней тяжести,группой лиц по предварительному сговору,386,369,438,375,330,345
1996,Ярославская область,средней тяжести,группой лиц по предварительному сговору,515,471,403,445,335,318
1997,Архангельская область (кроме Ненецкого автономного округа),средней тяжести,группой лиц по предварительному сговору,723,967,619,647,616,409
1998,Ненецкий автономный округ (Архангельская область),средней тяжести,группой лиц по предварительному сговору,26,23,26,26,9,18
1999,город Санкт-Петербург,средней тяжести,группой лиц по предварительному сговору,622,604,668,613,651,475
2000,Ленинградская область,средней тяжести,группой лиц по предварительному сговору,610,426,477,425,348,261
2001,Вологодская область,средней тяжести,группой лиц по предварительному сговору,865,636,650,635,456,299
2002,Калининградская область,средней тяжести,группой лиц по предварительному сговору,285,270,244,265,196,184
2003,Мурманская область,средней тяжести,группой лиц по предварительному сговору,195,159,197,206,127,148
2004,Новгородская область,средней тяжести,группой лиц по предварительному сговору,474,429,446,310,283,316
2005,Псковская область,средней тяжести,группой лиц по предварительному сговору,319,365,220,316,224,190
2006,Республика Карелия,средней тяжести,группой лиц по предварительному сговору,301,359,319,337,281,221
2007,Республика Коми,средней тяжести,группой лиц по предварительному сговору,337,404,308,324,277,219
2008,Кабардино-Балкарская Республика,средней тяжести,группой лиц по предварительному сговору,234,237,211,163,252,159
2009,Карачаево-Черкесская Республика,средней тяжести,группой лиц по предварительному сговору,122,132,108,180,107,107
2010,Республика Дагестан,средней тяжести,группой лиц по предварительному сговору,438,398,352,275,245,250
2011,Республика Ингушетия,средней тяжести,группой лиц по предварительному сговору,32,45,46,38,37,18
2012,Республика Северная Осетия-Алания,средней тяжести,группой лиц по предварительному сговору,140,122,93,169,107,108
2013,Ставропольский край,средней тяжести,группой лиц по предварительному сговору,670,616,717,574,519,449
2014,Чеченская Республика,средней тяжести,группой лиц по предварительному сговору,87,74,44,21,12,10
2015,Астраханская область,средней тяжести,группой лиц по предварительному сговору,352,463,517,448,410,364
2016,Волгоградская область,средней тяжести,группой лиц по предварительному сговору,982,959,828,853,794,739
2017,город Севастополь,средней тяжести,группой лиц по предварительному сговору,91,61,57,80,61,58
2018,Ростовская область,средней тяжести,группой лиц по предварительному сговору,1289,1356,1319,1538,1636,1434
2019,Краснодарский край,средней тяжести,группой лиц по предварительному сговору,1592,1523,1410,1374,1389,1305
2020,Республика Адыгея (Адыгея),средней тяжести,группой лиц по предварительному сговору,111,123,75,98,72,153
2021,Республика Калмыкия,средней тяжести,группой лиц по предварительному сговору,63,50,35,46,32,49
2022,Республика Крым,средней тяжести,группой лиц по предварительному сговору,581,492,477,505,505,443
2023,Кировская область,средней тяжести,группой лиц по предварительному сговору,537,526,541,492,330,379
2024,Нижегородская область,средней тяжести,группой лиц по предварительному сговору,1054,973,990,1039,777,782
2025,Оренбургская область,средней тяжести,группой лиц по предварительному сговору,650,628,707,467,410,474
2026,Пензенская область,средней тяжести,группой лиц по предварительному сговору,347,358,373,362,373,321
2027,Пермский край,средней тяжести,группой лиц по предварительному сговору,1363,1157,1047,846,583,538
2028,Республика Татарстан (Татарстан),средней тяжести,группой лиц по предварительному сговору,1036,849,818,762,856,497
2029,Республика Башкортостан,средней тяжести,группой лиц по предварительному сговору,1069,846,891,872,729,606
2030,Республика Марий Эл,средней тяжести,группой лиц по предварительному сговору,225,199,143,116,127,89
2031,Республика Мордовия,средней тяжести,группой лиц по предварительному сговору,200,225,244,192,184,151
2032,Самарская область,средней тяжести,группой лиц по предварительному сговору,802,797,713,706,728,676
2033,Саратовская область,средней тяжести,группой лиц по предварительному сговору,748,812,893,576,512,506
2034,Удмуртская Республика,средней тяжести,группой лиц по предварительному сговору,605,576,513,523,493,459
2035,Ульяновская область,средней тяжести,группой лиц по предварительному сговору,211,265,238,148,211,187
2036,Чувашская Республика - Чувашия,средней тяжести,группой лиц по предварительному сговору,383,302,300,277,215,116
2037,Курганская область,средней тяжести,группой лиц по предварительному сговору,373,357,326,333,223,257
2038,Свердловская область,средней тяжести,группой лиц по предварительному сговору,1821,1843,1926,1867,1538,1582
2039,Тюменская область (без автономных округов),средней тяжести,группой лиц по предварительному сговору,529,500,475,446,419,334
2040,Ханты-Мансийский автономный округ - Югра (Тюменская область),средней тяжести,группой лиц по предварительному сговору,358,347,355,279,205,220
2041,Ямало-Ненецкий автономный округ (Тюменская область),средней тяжести,группой лиц по предварительному сговору,147,109,118,72,92,67
2042,Челябинская область,средней тяжести,группой лиц по предварительному сговору,1665,1626,1722,1486,1428,1396
2043,Алтайский край,средней тяжести,группой лиц по предварительному сговору,900,817,873,702,496,505
2044,Забайкальский край,средней тяжести,группой лиц по предварительному сговору,765,716,544,597,441,325
2045,Иркутская область,средней тяжести,группой лиц по предварительному сговору,896,932,710,665,712,682
2046,Кемеровская область - Кузбасс,средней тяжести,группой лиц по предварительному сговору,1002,890,885,800,774,714
2047,Красноярский край,средней тяжести,группой лиц по предварительному сговору,1364,1181,978,978,734,724
2048,Новосибирская область,средней тяжести,группой лиц по предварительному сговору,1491,1265,1160,1177,839,900
2049,Омская область,средней тяжести,группой лиц по предварительному сговору,990,834,743,549,398,385
2050,Республика Алтай,средней тяжести,группой лиц по предварительному сговору,124,129,109,83,85,46
2051,Республика Бурятия,средней тяжести,группой лиц по предварительному сговору,443,361,306,308,188,184
2052,Республика Тыва,средней тяжести,группой лиц по предварительному сговору,139,118,135,104,86,59
2053,Республика Хакасия,средней тяжести,группой лиц по предварительному сговору,247,268,239,201,143,123
2054,Томская область,средней тяжести,группой лиц по предварительному сговору,299,363,323,222,240,152
2055,Амурская область,средней тяжести,группой лиц по предварительному сговору,440,515,391,305,260,136
2056,Еврейская автономная область,средней тяжести,группой лиц по предварительному сговору,50,61,30,51,21,28
2057,Камчатский край,средней тяжести,группой лиц по предварительному сговору,143,193,150,99,92,70
2058,Магаданская область,средней тяжести,группой лиц по предварительному сговору,42,45,49,29,21,30
2059,Приморский край,средней тяжести,группой лиц по предварительному сговору,576,528,448,469,319,361
2060,Республика Саха (Якутия),средней тяжести,группой лиц по предварительному сговору,264,237,248,190,144,156
2061,Сахалинская область,средней тяжести,группой лиц по предварительному сговору,212,183,185,160,167,142
2062,Хабаровский край,средней тяжести,группой лиц по предварительному сговору,535,516,542,437,432,341
2063,Чукотский автономный округ,средней тяжести,группой лиц по предварительному сговору,15,10,9,14,3,6
2064,Российская Федерация,небольшой тяжести,группой лиц по предварительному сговору,1890,1816,1763,1945,2047,1706
2065,Белгородская область,небольшой тяжести,группой лиц по предварительному сговору,2,14,13,9,9,23
2066,Брянская область,небольшой тяжести,группой лиц по предварительному сговору,8,10,20,28,13,12
2067,Владимирская область,небольшой тяжести,группой лиц по предварительному сговору,5,22,33,12,9,9
2068,Воронежская область,небольшой тяжести,группой лиц по предварительному сговору,14,19,8,7,11,13
2069,Ивановская область,небольшой тяжести,группой лиц по предварительному сговору,10,12,4,8,10,44
2070,Калужская область,небольшой тяжести,группой лиц по предварительному сговору,19,23,35,25,17,17
2071,Костромская область,небольшой тяжести,группой лиц по предварительному сговору,3,11,14,11,10,13
2072,Курская область,небольшой тяжести,группой лиц по предварительному сговору,17,12,8,17,17,8
2073,город Москва,небольшой тяжести,группой лиц по предварительному сговору,131,63,81,57,70,100
2074,Московская область,небольшой тяжести,группой лиц по предварительному сговору,5,7,29,31,29,72
2075,Липецкая область,небольшой тяжести,группой лиц по предварительному сговору,8,7,3,3,3,6
2076,Орловская область,небольшой тяжести,группой лиц по предварительному сговору,0,13,15,7,12,6
2077,Рязанская область,небольшой тяжести,группой лиц по предварительному сговору,5,5,5,3,9,1
2078,Смоленская область,небольшой тяжести,группой лиц по предварительному сговору,8,26,23,40,23,18
2079,Тамбовская область,небольшой тяжести,группой лиц по предварительному сговору,8,3,6,13,10,10
2080,Тверская область,небольшой тяжести,группой лиц по предварительному сговору,10,3,16,30,25,21
2081,Тульская область,небольшой тяжести,группой лиц по предварительному сговору,4,9,14,5,5,9
2082,Ярославская область,небольшой тяжести,группой лиц по предварительному сговору,23,19,7,5,7,5
2083,Архангельская область (кроме Ненецкого автономного округа),небольшой тяжести,группой лиц по предварительному сговору,22,37,22,41,38,39
2084,Ненецкий автономный округ (Архангельская область),небольшой тяжести,группой лиц по предварительному сговору,8,0,0,6,0,0
2085,город Санкт-Петербург,небольшой тяжести,группой лиц по предварительному сговору,2,40,39,82,56,32
2086,Ленинградская область,небольшой тяжести,группой лиц по предварительному сговору,7,10,24,26,26,9
2087,Вологодская область,небольшой тяжести,группой лиц по предварительному сговору,44,37,31,31,45,24
2088,Калининградская область,небольшой тяжести,группой лиц по предварительному сговору,4,5,3,6,7,3
2089,Мурманская область,небольшой тяжести,группой лиц по предварительному сговору,23,6,7,2,2,6
2090,Новгородская область,небольшой тяжести,группой лиц по предварительному сговору,7,3,5,8,4,6
2091,Псковская область,небольшой тяжести,группой лиц по предварительному сговору,7,10,2,10,6,4
2092,Республика Карелия,небольшой тяжести,группой лиц по предварительному сговору,22,16,16,9,11,11
2093,Республика Коми,небольшой тяжести,группой лиц по предварительному сговору,20,18,10,19,11,6
2094,Кабардино-Балкарская Республика,небольшой тяжести,группой лиц по предварительному сговору,1,4,7,5,16,5
2095,Карачаево-Черкесская Республика,небольшой тяжести,группой лиц по предварительному сговору,6,3,8,1,9,3
2096,Республика Дагестан,небольшой тяжести,группой лиц по предварительному сговору,25,20,24,9,27,16
2097,Республика Ингушетия,небольшой тяжести,группой лиц по предварительному сговору,0,2,0,13,2,3
2098,Республика Северная Осетия-Алания,небольшой тяжести,группой лиц по предварительному сговору,1,2,0,2,1,4
2099,Ставропольский край,небольшой тяжести,группой лиц по предварительному сговору,1,5,0,3,2,2
2100,Чеченская Республика,небольшой тяжести,группой лиц по предварительному сговору,10,4,4,5,0,0
2101,Астраханская область,небольшой тяжести,группой лиц по предварительному сговору,56,18,39,37,22,19
2102,Волгоградская область,небольшой тяжести,группой лиц по предварительному сговору,51,31,26,47,47,27
2103,город Севастополь,небольшой тяжести,группой лиц по предварительному сговору,6,1,12,4,8,5
2104,Ростовская область,небольшой тяжести,группой лиц по предварительному сговору,44,37,46,47,56,66
2105,Краснодарский край,небольшой тяжести,группой лиц по предварительному сговору,42,56,35,245,68,56
2106,Республика Адыгея (Адыгея),небольшой тяжести,группой лиц по предварительному сговору,0,1,2,3,9,10
2107,Республика Калмыкия,небольшой тяжести,группой лиц по предварительному сговору,3,1,1,1,1,0
2108,Республика Крым,небольшой тяжести,группой лиц по предварительному сговору,11,22,13,25,53,22
2109,Кировская область,небольшой тяжести,группой лиц по предварительному сговору,3,5,8,11,10,8
2110,Нижегородская область,небольшой тяжести,группой лиц по предварительному сговору,62,33,47,49,32,52
2111,Оренбургская область,небольшой тяжести,группой лиц по предварительному сговору,33,36,21,17,273,22
2112,Пензенская область,небольшой тяжести,группой лиц по предварительному сговору,17,9,7,5,14,15
2113,Пермский край,небольшой тяжести,группой лиц по предварительному сговору,54,65,56,51,84,37
2114,Республика Татарстан (Татарстан),небольшой тяжести,группой лиц по предварительному сговору,80,82,49,67,79,60
2115,Республика Башкортостан,небольшой тяжести,группой лиц по предварительному сговору,61,34,41,34,56,50
2116,Республика Марий Эл,небольшой тяжести,группой лиц по предварительному сговору,7,3,3,14,4,3
2117,Республика Мордовия,небольшой тяжести,группой лиц по предварительному сговору,9,9,14,11,11,8
2118,Самарская область,небольшой тяжести,группой лиц по предварительному сговору,2,9,13,15,34,20
2119,Саратовская область,небольшой тяжести,группой лиц по предварительному сговору,5,4,22,29,14,20
2120,Удмуртская Республика,небольшой тяжести,группой лиц по предварительному сговору,11,11,9,8,8,7
2121,Ульяновская область,небольшой тяжести,группой лиц по предварительному сговору,3,13,7,5,9,10
2122,Чувашская Республика - Чувашия,небольшой тяжести,группой лиц по предварительному сговору,15,14,15,10,14,5
2123,Курганская область,небольшой тяжести,группой лиц по предварительному сговору,56,41,22,17,20,17
2124,Свердловская область,небольшой тяжести,группой лиц по предварительному сговору,64,106,105,104,129,80
2125,Тюменская область (без автономных округов),небольшой тяжести,группой лиц по предварительному сговору,17,11,9,4,10,4
2126,Ханты-Мансийский автономный округ - Югра (Тюменская область),небольшой тяжести,группой лиц по предварительному сговору,13,11,21,8,17,9
2127,Ямало-Ненецкий автономный округ (Тюменская область),небольшой тяжести,группой лиц по предварительному сговору,10,9,11,7,9,8
2128,Челябинская область,небольшой тяжести,группой лиц по предварительному сговору,63,40,43,27,25,25
2129,Алтайский край,небольшой тяжести,группой лиц по предварительному сговору,19,30,31,25,28,26
2130,Забайкальский край,небольшой тяжести,группой лиц по предварительному сговору,51,68,46,39,38,19
2131,Иркутская область,небольшой тяжести,группой лиц по предварительному сговору,36,67,30,18,13,11
2132,Кемеровская область - Кузбасс,небольшой тяжести,группой лиц по предварительному сговору,11,15,46,16,13,17
2133,Красноярский край,небольшой тяжести,группой лиц по предварительному сговору,68,36,49,49,29,34
2134,Новосибирская область,небольшой тяжести,группой лиц по предварительному сговору,57,55,43,29,20,31
2135,Омская область,небольшой тяжести,группой лиц по предварительному сговору,7,13,35,9,11,15
2136,Республика Алтай,небольшой тяжести,группой лиц по предварительному сговору,3,1,5,3,1,3
2137,Республика Бурятия,небольшой тяжести,группой лиц по предварительному сговору,27,25,20,27,16,10
2138,Республика Тыва,небольшой тяжести,группой лиц по предварительному сговору,1,6,4,2,2,2
2139,Республика Хакасия,небольшой тяжести,группой лиц по предварительному сговору,18,15,9,4,10,9
2140,Томская область,небольшой тяжести,группой лиц по предварительному сговору,18,17,9,11,12,8
2141,Амурская область,небольшой тяжести,группой лиц по предварительному сговору,13,7,11,15,10,11
2142,Еврейская автономная область,небольшой тяжести,группой лиц по предварительному сговору,0,2,3,1,6,0
2143,Камчатский край,небольшой тяжести,группой лиц по предварительному сговору,33,17,7,13,9,6
2144,Магаданская область,небольшой тяжести,группой лиц по предварительному сговору,8,7,13,2,1,10
2145,Приморский край,небольшой тяжести,группой лиц по предварительному сговору,16,30,18,11,20,10
2146,Республика Саха (Якутия),небольшой тяжести,группой лиц по предварительному сговору,3,16,20,13,12,11
2147,Сахалинская область,небольшой тяжести,группой лиц по предварительному сговору,30,12,9,11,13,17
