,region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,Московская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,91538252.91,105960489.7,106006825.4,136928800.0,181524788.3,243276549.94,306841084.25,262030914.37,259976400.25,259483515.36,268204854.9,292428968.65,279036305.49,287727587.95,276445386.0,278649519.01
33,Орловская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,71015.0,66646.2,120592.6,130078.0,93209.0,89859.4,182456.2,287721.4,135591.8,124598.5,147475.9,107020.67,105945.1,231823.8,279700.5,264510.4
34,Орловская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,34781812.7,40797795.43,47795329.19,49612526.4,40435281.75,53966493.9,66441805.2,70809566.64,71709261.67,80157295.28,104302411.4,105689059.85,104210691.2,115793202.9,117839329.5,132055767.3
35,Орловская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,8134537.1,6886734.0,8620830.35,7347280.0,8236372.15,9689551.9,13674332.6,13668008.23,10280231.1,12258887.09,12744111.1,13656159.1,13353015.8,13793879.5,13508055.7,13424737.5
36,Рязанская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,615926.5,688454.8,1055957.6,1238998.5,940233.4,1526844.0,1806468.45,2236942.6,2466181.85,2033262.1,2402185.6,1465415.5,1781007.5,1664019.4,1571524.0,1509023.3
37,Рязанская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,53928990.1,65180751.4,85367149.0,105334069.6,96548154.99,129846901.1,148008866.23,173418718.45,191486105.49,200669324.05,250367971.92,251462837.89,277309421.2,303564399.5,326074186.2,341384630.8
38,Рязанская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,16107927.3,19136986.2,19273225.7,23400856.1,25243458.6,29031393.5,33583331.5,33277447.42,36072098.9,35038150.45,32929924.4,38945613.22,37934627.6,38454314.1,39783426.0,40118028.7
39,Смоленская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,619670.82,684675.0,851355.7,1306057.92,950452.22,1104013.7,1269592.9,1777339.09,1989630.05,1397822.4,1026000.3,1404082.43,1453951.9,1791166.9,1619481.5,2038290.5
40,Смоленская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,51398083.51,58954426.1,75327791.3,86743983.44,80049276.04,105016660.6,121946506.4,129459518.4,137850540.11,140286238.37,178437925.74,180556955.94,192044237.4,209367235.3,209663736.7,219478208.7
41,Смоленская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,23391788.3,26770862.2,27863664.43,35849755.97,44412832.88,53812209.7,45820658.8,46343611.93,52194221.51,53871991.31,55430550.4,55230377.6,54534293.9,55189174.9,53819855.4,54579627.0
42,Тамбовская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,55568.4,34504.3,100901.3,82381.7,194505.8,97758.2,96914.5,115484.4,162553.87,158171.3,173438.8,127284.3,145464.0,199560.8,291500.3,267666.1
43,Тамбовская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,23070239.3,26667831.3,39039085.5,43779024.9,46862008.24,50412816.1,80489986.9,83330518.98,89453030.71,100852232.89,126629287.0,137364204.85,134328620.5,162991213.31,172108450.1,188201670.58
44,Тамбовская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,6505696.5,6834479.7,6871637.3,8998103.3,9747857.69,10713660.26,11941274.4,13264471.14,14354119.42,14812878.95,15501558.6,16125547.25,16098686.8,15773001.0,15590773.0,14878456.32
45,Тверская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,225107.0,468665.94,521006.95,821568.3,383794.45,921752.2,1342982.5,1961332.24,1772390.88,967666.4,1265766.4,1069833.7,754627.0,969682.1,759354.5,789317.0
46,Тверская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,59321952.64,73049791.07,90524466.59,119022282.3,103600960.8,124106342.86,142949158.02,165888847.83,179908541.11,183904940.3,198375884.93,216934017.29,246184673.8,308286468.8,344052282.6,341532380.55
47,Тверская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,22640022.82,32759114.19,37213520.33,42659905.3,48213428.04,59476269.2,62820753.0,69643528.49,82430400.84,86541298.88,88438131.0,88012986.48,94874218.1,103027741.3,99972424.2,92219041.6
48,Тульская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,954662.9,1264620.5,1820033.7,2678297.5,1895277.9,1809619.8,2310038.8,3568826.4,4335835.37,5145515.1,5649932.4,4339122.0,5548336.4,6153013.6,7569838.2,8334138.3
49,Тульская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,125101834.0,144827452.5,189130789.4,246029791.8,190035848.5,243146420.2,308752083.4,327597230.3,366469367.09,438461831.29,524308249.0,570971540.05,629921385.3,703296907.5,740950206.1,850736047.67
50,Тульская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,18987553.5,23575502.9,23969823.4,24608296.6,26830935.9,33874720.4,34306373.4,35500683.9,35887016.37,41308381.2,48250710.8,51266134.26,49630401.2,49811737.6,55249687.5,55211893.3
