,region,total,18_30,31_40,41_50,51_60,60_,date
1294,Воронежская область,93.01095910133313,3.101850740947686,4.9572193979864325,7.506744457889559,18.29359216511667,59.15155233939277,2018-04-01
1295,Ивановская область,78.78708436242789,2.858139686156551,4.549369928034014,6.132187974919332,12.439806592644135,52.80758018067385,2018-04-01
1296,Калужская область,76.17007654946471,3.1674959196013264,4.74333995945289,6.063294590952383,13.158050735262153,49.03789534419595,2018-04-01
1297,Костромская область,95.69050742705075,3.4306197188352994,5.8368722447786805,7.543632757366428,17.5090623076397,61.37032039843065,2018-04-01
1298,Курская область,107.12521195046435,4.672549422230432,7.747232202661856,11.989379835855518,24.296180991125656,58.419869498590884,2018-04-01
1299,Липецкая область,104.79211894268916,3.5854602804205524,5.860714779416815,8.6671807797072,19.730464501421924,66.94829860172266,2018-04-01
1300,Орловская область,84.19572109356076,3.30145186263712,4.891287619756252,7.069951435067655,15.207822848402202,53.72520732769753,2018-04-01
1301,Рязанская область,119.43656295197214,3.5908099519025853,5.644357336862023,8.409468253387953,20.63980083354585,81.15212657627373,2018-04-01
1302,Смоленская область,80.99558855130047,3.400228367258371,5.494297138667801,7.26393272014056,15.07666314144023,49.76046718379351,2018-04-01
1303,Тамбовская область,108.24806105546698,3.0506447667848353,5.618488474696967,9.098719754787375,19.740661331021563,70.73954672817622,2018-04-01
1304,Тверская область,77.098747306003,3.05170371212729,4.800319034670874,6.272427257213136,13.749802355840492,49.22449494615121,2018-04-01
1305,Тульская область,100.16187900298621,3.6471372888115803,6.013989295206303,9.43858484906375,18.842313763737092,62.21985380616749,2018-04-01
1306,Ярославская область,84.53057793256453,2.295991732533555,4.083167678504271,5.875084144225572,12.209998704257934,60.06633567304319,2018-04-01
1307,город Москва,83.5449305111563,2.4349800439260707,3.479879371218157,5.258958804356274,12.285562958302854,60.08554933335295,2018-04-01
1308,Московская область,56.69774375165342,2.3057593339539424,3.456706539781712,4.51836071319811,9.397625205157407,37.01929195956225,2018-04-01
1309,Республика Карелия,101.67650895444702,3.4137423612494455,5.050732227655651,6.790535981647721,13.254959163609024,73.16653922028519,2018-04-01
1310,Республика Коми,75.13857621781173,3.6652383891503235,6.477791533323106,7.495781170283741,14.595545343946112,42.904219781108445,2018-04-01
1311,Архангельская область (кроме Ненецкого автономного округа),78.18593720607255,2.8874081821299313,4.61733290970279,6.025034404980599,11.736846226612938,52.9193154826463,2018-04-01
1312,Ненецкий автономный округ (Архангельская область),65.91358501716026,3.0456622042411983,4.818510352978612,6.432256744778053,12.364479396322476,39.25267631883992,2018-04-01
1313,Вологодская область,85.10575011749069,2.582670527216622,4.53220859547425,5.888556789432042,14.386979057338005,57.715335148029766,2018-04-01
1314,Калининградская область,71.72639425537328,2.921780536678601,4.483213837938707,5.9591855612161275,11.794703191939666,46.56751112760016,2018-04-01
1315,город Санкт-Петербург,111.75957854495617,2.50208569423956,3.652510727428491,5.10712480626166,11.774432985452925,88.72342433157353,2018-04-01
1316,Ленинградская область,77.91198225178299,2.5575912882012286,4.246847530289732,5.549625761378222,12.208515086425525,53.34940258548827,2018-04-01
1317,Мурманская область,37.975892998140814,2.040986945911192,3.103945686922157,3.9771377613106904,6.2569918400333355,22.596830763963442,2018-04-01
1318,Новгородская область,100.95040858995246,3.5269326403682912,5.861732368634538,7.396830212572302,17.031176831399762,67.13373653697757,2018-04-01
1319,Псковская область,76.66217366851728,3.5724048222752165,5.935156296638421,6.998708655776645,12.937006909162887,47.21889698466411,2018-04-01
1320,Республика Дагестан,94.10405416652387,12.296479796075896,14.140870169735482,19.36430381688608,24.460121708223383,23.842278675603033,2018-04-01
1321,Республика Ингушетия,104.35146083439369,12.39030167423772,12.61159365055948,24.5634093717152,30.851789698858504,23.934366439022792,2018-04-01
1322,Кабардино-Балкарская Республика,65.53264620686787,4.4939641591632515,5.557685822126334,8.554816892038604,16.35659738423798,30.569581949301707,2018-04-01
1323,Карачаево-Черкесская Республика,106.76059660522618,8.104137849690654,9.851920953024308,16.38412626928727,28.94457490269244,43.47583663053152,2018-04-01
1324,Республика Северная Осетия-Алания,95.2298846479947,4.816427151539333,6.010559090293759,10.721537836740218,21.034106859133754,52.64725371028763,2018-04-01
1325,Чеченская Республика,103.88933465369409,15.563184203548968,23.630096709699014,25.61272556839652,23.368437021783866,15.714891150265732,2018-04-01
1326,Ставропольский край,76.95861781842514,3.4502409062961275,5.190536278053068,7.865606636116877,16.76239362382055,43.68984037413851,2018-04-01
1327,Республика Адыгея (Адыгея),74.92897727272728,3.319540513833992,5.538449322416714,8.427883258046302,15.625,42.018104178430264,2018-04-01
1328,Республика Калмыкия,78.06094846648489,6.866052074520811,6.866052074520811,7.911754347107798,18.739129961185565,37.67796000914989,2018-04-01
1329,Республика Крым,64.66791832289908,2.992583597172225,5.566090532054923,8.133849532666817,15.47552921492101,32.499865446084115,2018-04-01
1330,Краснодарский край,75.95754021651064,3.3504538299824036,4.817593541087407,6.879013174097247,13.794075760874609,47.11640391046897,2018-04-01
1331,Астраханская область,43.279011394437816,2.8844811963275196,3.8898727683353744,4.644653537936579,8.5423886059553,23.317615285883043,2018-04-01
1332,Волгоградская область,70.02367055411625,2.8521272561988456,4.767823911384553,6.536769477042577,12.359218110194996,43.50773179929528,2018-04-01
1333,Ростовская область,84.57814471056655,4.008812326262685,7.234296231778018,10.289419237560336,19.24675366524723,43.79886324971827,2018-04-01
1334,город Севастополь,45.29049396569492,1.7931160830833353,3.4098976343692033,4.60530835642476,7.964824695994688,27.517347195822932,2018-04-01
1335,Республика Башкортостан,63.6417309802665,2.904048514345384,3.9792847820720776,4.931714252454844,10.794938981756914,41.03174444963727,2018-04-01
1336,Республика Марий Эл,93.2594495649485,4.191501803371668,5.680510835618386,6.816319890727841,16.61945120637577,59.95166582885483,2018-04-01
1337,Республика Мордовия,87.67216193656094,3.2320732967644488,5.030705938468876,7.503825820812465,17.577659193894586,54.32789768662056,2018-04-01
1338,Республика Татарстан (Татарстан),73.29203519825467,3.4142348118421766,4.500442186548285,6.387567008466768,14.704885416677365,44.28490577472008,2018-04-01
1339,Удмуртская Республика,69.82282075075148,3.072613883006707,5.249682097810771,6.222555325555635,12.959966795413749,42.31800264896461,2018-04-01
1340,Чувашская Республика - Чувашия,64.90447292986775,3.072006966031661,4.1555757901158055,6.008364761432097,11.98992459693108,39.67860081535711,2018-04-01
1341,Кировская область,97.9187025321881,3.039186807123854,4.866595284740632,5.937324175250421,14.438475169843786,69.63712109522942,2018-04-01
1342,Нижегородская область,90.99090131175434,3.1189408028807155,4.3712779217695825,5.808482381338663,13.26407712245019,64.42812308331519,2018-04-01
1343,Оренбургская область,98.02044778836236,3.6683655927027083,5.331391703577857,6.741095807293247,16.033108832392855,66.2464858523957,2018-04-01
1344,Пензенская область,72.77260251341376,2.701150072653953,4.262365252261284,6.042856445550837,12.677457749942741,47.088772993004945,2018-04-01
1345,Пермский край,79.48124410530657,3.2693866316549514,5.12328439165239,5.996671142249578,11.863344518478362,53.22855742127129,2018-04-01
1346,Самарская область,67.52561598289533,2.7937876583600385,4.480957340409342,6.374482779784275,13.218980721549991,40.65740748279168,2018-04-01
1347,Саратовская область,55.844414218721454,2.669968939686149,3.9952089973405878,5.413833005136117,10.631559714975943,33.13384356158265,2018-04-01
1348,Ульяновская область,90.43508115557452,3.6314251839777705,5.625620679309941,7.296541522743936,17.555498155810362,56.325995613732516,2018-04-01
1349,Курганская область,88.45266381009938,3.7349045636086893,5.915767139699386,7.439059437966642,15.560525441228474,55.80240722759619,2018-04-01
1350,Свердловская область,63.42237314970489,3.1503337605912805,5.106518550578278,5.78416630137037,10.077784991223641,39.30356954594133,2018-04-01
1351,Тюменская область (без автономных округов),62.90787367583881,3.3540635410557527,4.952698162971325,5.180216696390862,10.6533384841928,38.76755679122806,2018-04-01
1352,Ханты-Мансийский автономный округ - Югра (Тюменская область),28.89236372512649,2.4222481895069348,3.352720180487398,3.52189690612021,7.131403188014554,12.464095260997393,2018-04-01
1353,Ямало-Ненецкий автономный округ (Тюменская область),25.086018490493867,2.358197148995352,2.642294915764084,3.1306459789024914,6.372702846733897,10.582177600098042,2018-04-01
1354,Челябинская область,63.6910126319912,3.188343893392453,4.37756725095304,5.2057865993937655,10.337998234200851,40.58131665405109,2018-04-01
1355,Республика Алтай,102.53000279735673,4.8609805423203385,8.016032064128256,9.520184533827381,18.985339099251135,61.14746655782962,2018-04-01
1356,Республика Тыва,63.72271712845251,6.365744338279633,9.097916835031485,13.135564244907094,15.438794984489714,19.684696725744587,2018-04-01
1357,Республика Хакасия,52.7261666229468,2.99713681343521,5.184990874639311,5.3468474250855325,9.525351014766155,29.671840495020586,2018-04-01
1358,Алтайский край,75.56636369825708,3.4458401416122006,5.773845996732026,6.117664079520697,11.96001838235294,48.26899509803922,2018-04-01
1359,Кемеровская область - Кузбасс,83.94705955039878,3.935986688817337,6.491576424452767,7.722430374373302,16.02410796485331,49.772958097902055,2018-04-01
1360,Новосибирская область,66.09214052105366,3.1263793772986634,5.208600393925954,6.008930565979011,11.576101825520134,40.17212835832991,2018-04-01
1361,Омская область,64.3748906295199,3.138645800862311,5.144685347187182,5.869145203693113,11.761758825273038,38.46065545250426,2018-04-01
1362,Томская область,49.69302963979671,2.7358385577030084,4.406091182253218,4.646288533590533,8.502429795600401,29.402381570649553,2018-04-01
1363,Красноярский край,62.15129026729387,3.645753845736672,5.47123810662761,6.209636234628438,11.662449152562996,35.162212927738146,2018-04-01
1364,Иркутская область,88.02655358654351,6.214554143902637,8.281774148935506,8.949773208911921,15.618949378066256,48.9615027067272,2018-04-01
1365,Республика Бурятия,74.7162804681715,4.60533198714895,7.374219282466118,7.8384091188417395,14.568653879946492,40.32966619976821,2018-04-01
1366,Забайкальский край,74.42818179614953,4.5012798213283665,6.634004656946363,7.169050135812067,12.383413217301172,43.74043396476157,2018-04-01
1367,Хабаровский край,51.558305264917166,2.773465672715994,4.363465537204641,5.485951236992792,7.861164102741696,31.07425871526204,2018-04-01
1368,Амурская область,83.59593398996022,4.245864352774967,6.6769034998947925,7.850465416871236,14.41840425638508,50.40429646403415,2018-04-01
1369,Камчатский край,42.6357203294492,2.817240625306997,3.793292495492098,4.9024423479751675,7.459825007843274,23.66291985283166,2018-04-01
1370,Магаданская область,34.76275409289963,2.644162369613647,4.066874405757472,4.6012589266505195,7.30094176596734,16.149516624910646,2018-04-01
1371,Сахалинская область,43.6369422723443,2.9091294848229534,4.541179686687162,5.230720896974791,6.983134801226486,23.972777402632904,2018-04-01
1372,Еврейская автономная область,78.90058883800165,4.715641858111027,7.35121656153172,7.573419581023862,12.066858419642747,47.1934524176923,2018-04-01
1373,Чукотский автономный округ,31.551430655750995,3.485450271540893,4.640512280132934,5.268703898840885,7.984112831320418,10.172651373915864,2018-04-01
1374,Республика Саха (Якутия),53.4879138883992,4.514014911907749,5.729366503168002,7.226779214584219,12.528906079868925,23.488847178870305,2018-04-01
1375,Приморский край,58.07833303799143,2.979032815361125,5.027607934399596,6.125861653486054,9.54398686486461,34.40184376988004,2018-04-01
1376,Российская Федерация,77.45098407662636,3.5230016208013333,5.315548091525221,6.997548863418376,13.66614989258746,47.948735608293966,2018-05-01
1377,Белгородская область,136.1928309103438,3.6338390942243124,6.485680144734159,10.025318154484616,22.09725165109983,93.95074186580088,2018-05-01
1378,Брянская область,89.54716089917109,3.201533961693898,5.332862090435696,8.239593982404363,16.90281110701893,55.870359757618196,2018-05-01
1379,Владимирская область,92.66311504370847,2.934695941558559,4.88922520399583,6.790066580234007,15.325714973914216,62.72341234400586,2018-05-01
1380,Воронежская область,92.90126525001628,3.082568618645898,4.97178811261445,7.521741664124283,18.181755855766298,59.14341099886535,2018-05-01
1381,Ивановская область,78.53182292149182,2.836457247158122,4.569081236214404,6.132187974919332,12.383629364330023,52.61046709886995,2018-05-01
1382,Калужская область,76.23429589905113,3.1694718995886006,4.7472919194274406,6.0899703207805915,13.163978675223976,49.063583084030526,2018-05-01
