,region,gravity,type,2016,2017,2018,2019,2020,2021
114,Республика Карелия,особо тяжких,несовершеннолетними или при их соучастии,4.287,1.595,3.213,1.456,4.071,2.134
115,Республика Коми,особо тяжких,несовершеннолетними или при их соучастии,4.318,3.174,1.427,3.613,2.803,1.598
116,Кабардино-Балкарская Республика,особо тяжких,несовершеннолетними или при их соучастии,0.348,0.116,0.346,0.462,0.115,0.575
117,Карачаево-Черкесская Республика,особо тяжких,несовершеннолетними или при их соучастии,0.428,0.214,0.429,3.866,4.941,0.0
118,Республика Дагестан,особо тяжких,несовершеннолетними или при их соучастии,0.597,0.362,0.424,0.68,0.771,1.053
119,Республика Ингушетия,особо тяжких,несовершеннолетними или при их соучастии,0.0,0.0,0.0,0.402,0.197,0.0
120,Республика Северная Осетия-Алания,особо тяжких,несовершеннолетними или при их соучастии,0.426,0.995,0.427,0.286,0.431,0.577
121,Ставропольский край,особо тяжких,несовершеннолетними или при их соучастии,0.964,0.571,0.857,1.002,0.713,0.752
122,Чеченская Республика,особо тяжких,несовершеннолетними или при их соучастии,0.143,0.071,0.139,0.275,0.135,0.067
123,Астраханская область,особо тяжких,несовершеннолетними или при их соучастии,1.865,1.374,1.474,1.578,1.094,1.604
124,Волгоградская область,особо тяжких,несовершеннолетними или при их соучастии,1.021,1.183,1.269,0.678,0.803,1.536
125,город Севастополь,особо тяжких,несовершеннолетними или при их соучастии,0.721,0.7,0.0,0.226,0.223,1.569
126,Ростовская область,особо тяжких,несовершеннолетними или при их соучастии,0.779,0.685,0.64,0.547,0.858,0.885
127,Краснодарский край,особо тяжких,несовершеннолетними или при их соучастии,0.544,0.521,0.482,0.637,0.388,0.44
128,Республика Адыгея (Адыгея),особо тяжких,несовершеннолетними или при их соучастии,1.107,3.088,0.221,0.44,1.296,0.432
129,Республика Калмыкия,особо тяжких,несовершеннолетними или при их соучастии,1.076,1.44,0.0,1.467,0.369,0.37
130,Республика Крым,особо тяжких,несовершеннолетними или при их соучастии,0.891,0.471,0.261,0.523,0.993,0.894
131,Кировская область,особо тяжких,несовершеннолетними или при их соучастии,0.385,0.852,1.481,1.022,0.396,1.28
132,Нижегородская область,особо тяжких,несовершеннолетними или при их соучастии,0.736,0.739,1.298,2.458,2.404,1.511
133,Оренбургская область,особо тяжких,несовершеннолетними или при их соучастии,0.501,10.203,2.629,3.006,0.869,1.029
134,Пензенская область,особо тяжких,несовершеннолетними или при их соучастии,0.89,0.522,0.751,0.531,0.383,1.627
135,Пермский край,особо тяжких,несовершеннолетними или при их соучастии,2.126,1.9,2.097,3.332,2.693,2.132
136,Республика Татарстан (Татарстан),особо тяжких,несовершеннолетними или при их соучастии,1.37,1.338,0.796,0.667,1.204,1.104
